stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id,route_ids,route_names,route_types
29.78539,0,3742,-95.341875,,,,JENSEN DR & NEWHOFF ST,Jensen Dr @ Newhoff St,0,3742,,6,6,3
29.787375,0,3743,-95.341911,,,,JENSEN DR & FLORIDA,Jensen Dr @ Florida,0,3743,,6,6,3
29.781802,0,3740,-95.341827,,,,JENSEN DR & LEE ST,Jensen Dr @ Lee St,0,3740,,6,6,3
29.783321,0,3741,-95.341845,,,,JENSEN DR & QUITMAN ST,Jensen Dr @ Quitman St,0,3741,,6,6,3
29.856754,0,4621,-95.372055,,,,BAUMAN RD & SUNNYSIDE ST,Bauman Rd @ Sunnyside St,0,4621,,79,79,3
29.854778,0,4622,-95.371999,,,,BAUMAN RD & ROBMORE ST,Bauman Rd @ Robmore St,0,4622,,79,79,3
29.85302,0,4623,-95.371982,,,,BAUMAN RD & HARKNESS ST,Bauman Rd @ Harkness St,0,4623,,79,79,3
29.65793,0,12778,-95.464788,,,,S WILLOW DR & S POST OAK RD,S Willow Dr @ S Post Oak Rd,0,12778,,7,7,3
29.693103,0,11999,-95.637849,,,,PAVILION POINT & PAVILION DR,Pavilion Point @ Pavilion Dr,0,11999,,4,4,3
29.749076,0,11754,-95.48613,,,,FOUNTAIN VIEW DR & SAN FELIPE RD,Fountain View Dr @ San Felipe Rd,0,11754,,35,35,3
29.749705,0,11753,-95.485927,,,,FOUNTAIN VIEW DR & SAN FELIPE RD,Fountain View Dr @ San Felipe Rd,0,11753,,35,35,3
29.746171,0,11752,-95.485605,,,,FOUNTAIN VIEW DR & INWOOD DR,Fountain View Dr @ Inwood Dr,0,11752,,35,35,3
29.74588,0,11751,-95.485371,,,,FOUNTAIN VIEW DR & INWOOD DR,Fountain View Dr @ Inwood Dr,0,11751,,35,35,3
29.742448,0,11750,-95.485548,,,,FOUNTAIN VIEW DR & BURGOYNE RD,Fountain View Dr @ Burgoyne Rd,0,11750,,35,35,3
29.757449,0,179,-95.272795,,,,GELLHORN DR & BUCROFT,Gellhorn Dr @ Bucroft,0,179,,48,48,3
29.759862,0,178,-95.272848,,,,GELLHORN DR & GUINEVERE ST,Gellhorn Dr @ Guinevere St,0,178,,48,48,3
29.760431,0,177,-95.270085,,,,LEDWICKE & GUINEVERE ST,Ledwicke   @ Guinevere St,0,177,,48,48,3
29.761927,0,176,-95.270104,,,,LEDWICKE & FLOSSIE MAE,Ledwicke   @ Flossie Mae,0,176,,48,48,3
29.7634,0,175,-95.270134,,,,LEDWICKE & PATTIBOB,Ledwicke   @ Pattibob,0,175,,48,48,3
